vendor_clean,total_pengiriman,ontime_rate_aktual,avg_delay_jam,pct_faktor_traffic,pct_faktor_loading
Mattroy,998,0.8977955911823647,0.42786573146292584,0.0871743486973948,0.01503006012024048
MBL,389,0.897172236503856,0.43817480719794344,0.09511568123393316,0.007712082262210797
Harmoni,1056,0.8948863636363636,0.4269886363636363,0.0928030303030303,0.01231060606060606
Transvia,94,0.8936170212765957,0.4739361702127659,0.0851063829787234,0.02127659574468085
Tidak Diketahui,196,0.8877551020408163,0.5071938775510204,0.10204081632653061,0.01020408163265306
Primapack,568,0.8873239436619719,0.4530633802816901,0.09154929577464789,0.02112676056338028
Triemtrans,445,0.8696629213483146,0.48930337078651687,0.12134831460674157,0.008988764044943821
Nusatama,8740,0.7276887871853547,0.8681315789473685,0.23810068649885582,0.034210526315789476
AKL,2061,0.710334788937409,0.9220669577874818,0.2542455118874333,0.03541969917515769
Lainnya,45,0.6444444444444445,1.1206666666666667,0.3111111111111111,0.044444444444444446
SPM,108,0.5555555555555556,1.562962962962963,0.4166666666666667,0.027777777777777776
MAM,3266,0.5039804041641152,1.4569105939987754,0.43753827311696264,0.05848132271892223
Elang Jaya,6514,0.49616211237334973,1.439869511820694,0.4487258213079521,0.05511206631869819
